hourstamp,actual_kwh,charged_price_ct,spot_ct
2026-06-10 00:00:00,3.673,42.78,9.396
2026-06-10 00:15:00,2.765,38.35,9.189
2026-06-10 00:30:00,1.617,38.35,9.061
2026-06-10 00:45:00,0.267,38.35,8.941
2026-06-10 01:00:00,1.311,38.35,8.811
2026-06-10 01:15:00,1.295,38.35,8.693
2026-06-10 01:30:00,0.354,38.35,8.646
2026-06-10 01:45:00,2.262,38.35,8.578
2026-06-10 02:00:00,1.213,38.35,8.532
2026-06-10 02:15:00,2.028,38.35,8.466
2026-06-10 02:30:00,1.776,38.35,8.456
2026-06-10 02:45:00,0.483,38.35,8.441
2026-06-10 03:00:00,0.264,38.35,8.353
2026-06-10 03:15:00,0.573,38.35,8.362
2026-06-10 03:30:00,0.801,38.35,8.417
2026-06-10 03:45:00,1.031,38.35,8.468
2026-06-10 04:00:00,0.783,38.35,8.461
2026-06-10 04:15:00,0.652,38.35,8.543
2026-06-10 04:30:00,0.558,38.35,8.719
2026-06-10 04:45:00,0.288,38.35,8.932
2026-06-10 05:00:00,1.346,38.35,8.963
2026-06-10 05:15:00,0.312,38.35,9.305
2026-06-10 05:30:00,0.275,38.35,9.594
2026-06-10 05:45:00,0.228,38.35,9.962
2026-06-10 06:00:00,0.996,38.35,10.59
2026-06-10 06:15:00,3.155,40.97,10.924
2026-06-10 06:30:00,3.676,41.09,11.065
2026-06-10 06:45:00,3.724,41.1,11.074
2026-06-10 07:00:00,0.993,41.92,12.011
2026-06-10 07:15:00,2.51,47.97,11.861
2026-06-10 07:30:00,4.318,54.0,11.668
2026-06-10 07:45:00,7.812,59.89,11.243
2026-06-10 08:00:00,8.788,60.21,11.68
2026-06-10 08:15:00,8.655,59.8,11.12
2026-06-10 08:30:00,8.278,59.45,10.64
2026-06-10 08:45:00,6.821,59.02,10.046
2026-06-10 09:00:00,7.014,58.71,9.615
2026-06-10 09:15:00,6.241,58.26,8.993
2026-06-10 09:30:00,4.79,54.77,8.56
2026-06-10 09:45:00,8.933,57.64,8.134
2026-06-10 10:00:00,8.002,57.15,7.465
2026-06-10 10:15:00,10.449,56.88,7.086
2026-06-10 10:30:00,8.685,56.7,6.845
2026-06-10 10:45:00,8.161,56.52,6.591
2026-06-10 11:00:00,5.861,56.11,6.024
2026-06-10 11:15:00,5.976,55.95,5.817
2026-06-10 11:30:00,7.518,55.88,5.712
2026-06-10 11:45:00,8.572,55.8,5.597
2026-06-10 12:00:00,7.883,58.7,5.1
2026-06-10 12:15:00,7.108,58.61,4.975
2026-06-10 12:30:00,8.252,58.59,4.953
2026-06-10 12:45:00,7.0,58.56,4.905
2026-06-10 13:00:00,7.697,58.24,4.449
2026-06-10 13:15:00,7.045,58.34,4.597
2026-06-10 13:30:00,6.952,58.43,4.726
2026-06-10 13:45:00,6.89,58.57,4.917
2026-06-10 14:00:00,7.026,58.44,4.731
2026-06-10 14:15:00,7.759,58.69,5.091
2026-06-10 14:30:00,7.927,58.95,5.465
2026-06-10 14:45:00,6.222,62.5,5.906
2026-06-10 15:00:00,9.445,59.34,6.02
2026-06-10 15:15:00,8.566,59.72,6.557
2026-06-10 15:30:00,7.597,60.03,7.002
2026-06-10 15:45:00,8.154,60.42,7.561
2026-06-10 16:00:00,9.14,60.6,7.822
2026-06-10 16:15:00,8.774,64.14,8.333
2026-06-10 16:30:00,14.459,64.42,8.755
2026-06-10 16:45:00,14.651,64.75,9.233
2026-06-10 17:00:00,9.862,65.39,10.193
2026-06-10 17:15:00,16.185,65.59,10.475
2026-06-10 17:30:00,13.85,65.81,10.81
2026-06-10 17:45:00,10.901,66.05,11.169
2026-06-10 18:00:00,13.658,63.74,12.304
2026-06-10 18:15:00,10.286,63.76,12.339
2026-06-10 18:30:00,9.601,63.88,12.511
2026-06-10 18:45:00,12.787,63.95,12.61
2026-06-10 19:00:00,13.93,64.6,13.539
2026-06-10 19:15:00,12.758,64.48,13.364
2026-06-10 19:30:00,13.181,61.35,13.254
2026-06-10 19:45:00,9.133,61.36,13.275
2026-06-10 20:00:00,7.508,61.47,13.423
2026-06-10 20:15:00,8.47,61.27,13.142
2026-06-10 20:30:00,6.59,61.1,12.914
2026-06-10 20:45:00,6.338,57.77,12.56
2026-06-10 21:00:00,6.331,57.57,12.291
2026-06-10 21:15:00,6.375,57.24,11.849
2026-06-10 21:30:00,5.26,53.93,11.572
2026-06-10 21:45:00,4.943,50.53,11.198
2026-06-10 22:00:00,4.645,53.5,11.015
2026-06-10 22:15:00,3.611,50.05,10.599
2026-06-10 22:30:00,2.092,46.75,10.386
2026-06-10 22:45:00,2.547,43.33,10.045
2026-06-10 23:00:00,1.945,40.06,9.894
2026-06-10 23:15:00,1.774,39.84,9.637
2026-06-10 23:30:00,2.613,42.83,9.456
2026-06-10 23:45:00,2.152,42.67,9.258
