hourstamp,actual_kwh,charged_price_ct,spot_ct
2026-06-02 00:00:00,3.862,42.78,9.396
2026-06-02 00:15:00,2.463,39.45,9.189
2026-06-02 00:30:00,0.849,38.35,9.061
2026-06-02 00:45:00,1.497,38.35,8.941
2026-06-02 01:00:00,0.338,38.35,8.811
2026-06-02 01:15:00,0.252,38.35,8.693
2026-06-02 01:30:00,0.292,38.35,8.646
2026-06-02 01:45:00,0.3,38.35,8.578
2026-06-02 02:00:00,0.253,38.35,8.532
2026-06-02 02:15:00,0.645,38.35,8.466
2026-06-02 02:30:00,1.608,38.35,8.456
2026-06-02 02:45:00,1.009,38.35,8.441
2026-06-02 03:00:00,0.374,38.35,8.353
2026-06-02 03:15:00,0.312,38.35,8.362
2026-06-02 03:30:00,0.297,38.35,8.417
2026-06-02 03:45:00,0.238,38.35,8.468
2026-06-02 04:00:00,0.288,38.35,8.461
2026-06-02 04:15:00,0.326,38.35,8.543
2026-06-02 04:30:00,0.238,38.35,8.719
2026-06-02 04:45:00,1.04,38.35,8.932
2026-06-02 05:00:00,0.739,38.35,8.963
2026-06-02 05:15:00,0.289,38.35,9.305
2026-06-02 05:30:00,0.271,38.35,9.594
2026-06-02 05:45:00,1.778,38.35,9.962
2026-06-02 06:00:00,4.169,43.8,10.59
2026-06-02 06:15:00,4.223,44.08,10.924
2026-06-02 06:30:00,3.486,41.09,11.065
2026-06-02 06:45:00,2.976,44.21,11.074
2026-06-02 07:00:00,2.239,48.09,12.011
2026-06-02 07:15:00,2.785,51.06,11.861
2026-06-02 07:30:00,6.257,60.2,11.668
2026-06-02 07:45:00,12.615,63.0,11.243
2026-06-02 08:00:00,9.905,63.3,11.68
2026-06-02 08:15:00,5.568,59.8,11.12
2026-06-02 08:30:00,6.339,56.33,10.64
2026-06-02 08:45:00,6.781,59.02,10.046
2026-06-02 09:00:00,6.654,58.71,9.615
2026-06-02 09:15:00,8.471,58.26,8.993
2026-06-02 09:30:00,7.095,57.94,8.56
2026-06-02 09:45:00,5.165,57.64,8.134
2026-06-02 10:00:00,5.52,57.15,7.465
2026-06-02 10:15:00,7.525,56.88,7.086
2026-06-02 10:30:00,6.831,53.48,6.845
2026-06-02 10:45:00,6.661,56.52,6.591
2026-06-02 11:00:00,7.773,59.34,6.024
2026-06-02 11:15:00,7.951,59.2,5.817
2026-06-02 11:30:00,8.736,59.12,5.712
2026-06-02 11:45:00,8.787,62.29,5.597
2026-06-02 12:00:00,8.325,65.22,5.1
2026-06-02 12:15:00,8.094,61.87,4.975
2026-06-02 12:30:00,7.454,61.86,4.953
2026-06-02 12:45:00,4.988,61.83,4.905
2026-06-02 13:00:00,6.932,58.24,4.449
2026-06-02 13:15:00,8.496,58.34,4.597
2026-06-02 13:30:00,6.009,61.7,4.726
2026-06-02 13:45:00,6.986,61.83,4.917
2026-06-02 14:00:00,8.92,61.71,4.731
2026-06-02 14:15:00,8.41,58.69,5.091
2026-06-02 14:30:00,7.867,55.7,5.465
2026-06-02 14:45:00,7.334,59.26,5.906
2026-06-02 15:00:00,8.005,59.34,6.02
2026-06-02 15:15:00,9.11,59.72,6.557
2026-06-02 15:30:00,9.094,60.03,7.002
2026-06-02 15:45:00,7.812,60.42,7.561
2026-06-02 16:00:00,9.017,63.79,7.822
2026-06-02 16:15:00,10.879,64.14,8.333
2026-06-02 16:30:00,11.21,64.42,8.755
2026-06-02 16:45:00,11.352,67.9,9.233
2026-06-02 17:00:00,17.457,68.53,10.193
2026-06-02 17:15:00,14.84,65.59,10.475
2026-06-02 17:30:00,13.97,65.81,10.81
2026-06-02 17:45:00,14.817,66.05,11.169
2026-06-02 18:00:00,12.39,66.82,12.304
2026-06-02 18:15:00,11.755,66.84,12.339
2026-06-02 18:30:00,15.029,66.96,12.511
2026-06-02 18:45:00,13.945,63.95,12.61
2026-06-02 19:00:00,10.148,64.6,13.539
2026-06-02 19:15:00,11.611,61.43,13.364
2026-06-02 19:30:00,7.378,61.35,13.254
2026-06-02 19:45:00,9.016,61.36,13.275
2026-06-02 20:00:00,6.869,58.42,13.423
2026-06-02 20:15:00,6.183,55.15,13.142
2026-06-02 20:30:00,5.235,54.97,12.914
2026-06-02 20:45:00,6.554,54.69,12.56
2026-06-02 21:00:00,5.702,57.57,12.291
2026-06-02 21:15:00,5.965,57.24,11.849
2026-06-02 21:30:00,5.385,57.03,11.572
2026-06-02 21:45:00,4.646,56.75,11.198
2026-06-02 22:00:00,4.383,56.61,11.015
2026-06-02 22:15:00,3.656,50.05,10.599
2026-06-02 22:30:00,2.881,46.75,10.386
2026-06-02 22:45:00,2.269,46.47,10.045
2026-06-02 23:00:00,3.232,46.35,9.894
2026-06-02 23:15:00,3.358,46.13,9.637
2026-06-02 23:30:00,1.799,42.83,9.456
2026-06-02 23:45:00,1.991,42.67,9.258
