hourstamp,spot_ct,hour,dayofweek,month,is_weekend,dayofyear,trend,hour_sin,hour_cos,target_kwh
2025-01-01 00:00:00,0.216,0,2,1,0,1,0.0,0.0,1.0,0.35000000000000003
2025-01-01 01:00:00,0.16,1,2,1,0,1,1.0,0.25881904510252074,0.9659258262890683,0.35000000000000003
2025-01-01 02:00:00,0.0,2,2,1,0,1,2.0,0.49999999999999994,0.8660254037844387,0.35000000000000003
2025-01-01 03:00:00,-0.001,3,2,1,0,1,3.0,0.7071067811865475,0.7071067811865476,0.4
2025-01-01 04:00:00,-0.001,4,2,1,0,1,4.0,0.8660254037844386,0.5000000000000001,0.35000000000000003
2025-01-01 05:00:00,-0.006,5,2,1,0,1,5.0,0.9659258262890683,0.25881904510252074,0.35000000000000003
2025-01-01 06:00:00,-0.009,6,2,1,0,1,6.0,1.0,6.123233995736766e-17,0.35000000000000003
2025-01-01 07:00:00,-0.001,7,2,1,0,1,7.0,0.9659258262890683,-0.25881904510252063,0.35000000000000003
2025-01-01 08:00:00,-0.001,8,2,1,0,1,8.0,0.8660254037844387,-0.4999999999999998,0.30000000000000004
2025-01-01 09:00:00,-0.004,9,2,1,0,1,9.0,0.7071067811865476,-0.7071067811865475,0.25
2025-01-01 10:00:00,-0.003,10,2,1,0,1,10.0,0.49999999999999994,-0.8660254037844387,4.0
2025-01-01 11:00:00,-0.01,11,2,1,0,1,11.0,0.258819045102521,-0.9659258262890682,22.05
2025-01-01 12:00:00,-0.005,12,2,1,0,1,12.0,1.2246467991473532e-16,-1.0,10.65
2025-01-01 13:00:00,-0.01,13,2,1,0,1,13.0,-0.2588190451025208,-0.9659258262890683,132.20000000000002
2025-01-01 14:00:00,-0.101,14,2,1,0,1,14.0,-0.4999999999999997,-0.8660254037844388,22.549999999999997
2025-01-01 15:00:00,-0.001,15,2,1,0,1,15.0,-0.7071067811865471,-0.7071067811865479,76.8
2025-01-01 16:00:00,-0.001,16,2,1,0,1,16.0,-0.8660254037844384,-0.5000000000000004,77.45
2025-01-01 17:00:00,0.007,17,2,1,0,1,17.0,-0.9659258262890683,-0.25881904510252063,0.55
2025-01-01 18:00:00,0.101,18,2,1,0,1,18.0,-1.0,-1.8369701987210297e-16,4.3
2025-01-01 19:00:00,0.148,19,2,1,0,1,19.0,-0.9659258262890684,0.2588190451025203,0.30000000000000004
2025-01-01 20:00:00,0.1,20,2,1,0,1,20.0,-0.8660254037844386,0.5000000000000001,0.30000000000000004
2025-01-01 21:00:00,0.007,21,2,1,0,1,21.0,-0.7071067811865477,0.7071067811865474,0.30000000000000004
2025-01-01 22:00:00,1.005,22,2,1,0,1,22.0,-0.5000000000000004,0.8660254037844384,0.30000000000000004
2025-01-01 23:00:00,0.701,23,2,1,0,1,23.0,-0.25881904510252157,0.9659258262890681,0.30000000000000004
2025-01-02 00:00:00,0.255,0,3,1,0,2,24.0,0.0,1.0,0.30000000000000004
2025-01-02 01:00:00,0.156,1,3,1,0,2,25.0,0.25881904510252074,0.9659258262890683,0.30000000000000004
2025-01-02 02:00:00,0.345,2,3,1,0,2,26.0,0.49999999999999994,0.8660254037844387,0.30000000000000004
2025-01-02 03:00:00,0.702,3,3,1,0,2,27.0,0.7071067811865475,0.7071067811865476,0.35000000000000003
2025-01-02 04:00:00,1.275,4,3,1,0,2,28.0,0.8660254037844386,0.5000000000000001,0.30000000000000004
2025-01-02 05:00:00,3.007,5,3,1,0,2,29.0,0.9659258262890683,0.25881904510252074,0.35000000000000003
2025-01-02 06:00:00,6.713,6,3,1,0,2,30.0,1.0,6.123233995736766e-17,0.35000000000000003
2025-01-02 07:00:00,9.883,7,3,1,0,2,31.0,0.9659258262890683,-0.25881904510252063,0.35000000000000003
2025-01-02 08:00:00,12.153,8,3,1,0,2,32.0,0.8660254037844387,-0.4999999999999998,4.8
2025-01-02 09:00:00,12.723,9,3,1,0,2,33.0,0.7071067811865476,-0.7071067811865475,53.949999999999996
2025-01-02 10:00:00,12.635,10,3,1,0,2,34.0,0.49999999999999994,-0.8660254037844387,69.85
2025-01-02 11:00:00,11.997,11,3,1,0,2,35.0,0.258819045102521,-0.9659258262890682,89.65
2025-01-02 12:00:00,11.595,12,3,1,0,2,36.0,1.2246467991473532e-16,-1.0,95.7
2025-01-02 13:00:00,11.39,13,3,1,0,2,37.0,-0.2588190451025208,-0.9659258262890683,123.44999999999999
2025-01-02 14:00:00,12.221,14,3,1,0,2,38.0,-0.4999999999999997,-0.8660254037844388,88.45
2025-01-02 15:00:00,13.011,15,3,1,0,2,39.0,-0.7071067811865471,-0.7071067811865479,50.4
2025-01-02 16:00:00,13.859,16,3,1,0,2,40.0,-0.8660254037844384,-0.5000000000000004,3.25
2025-01-02 17:00:00,15.287,17,3,1,0,2,41.0,-0.9659258262890683,-0.25881904510252063,16.05
2025-01-02 18:00:00,15.294,18,3,1,0,2,42.0,-1.0,-1.8369701987210297e-16,9.85
2025-01-02 19:00:00,13.915,19,3,1,0,2,43.0,-0.9659258262890684,0.2588190451025203,139.6
2025-01-02 20:00:00,13.0,20,3,1,0,2,44.0,-0.8660254037844386,0.5000000000000001,0.35000000000000003
2025-01-02 21:00:00,11.978,21,3,1,0,2,45.0,-0.7071067811865477,0.7071067811865474,0.35000000000000003
2025-01-02 22:00:00,11.342,22,3,1,0,2,46.0,-0.5000000000000004,0.8660254037844384,0.4
