hourstamp,spot_ct,target_kwh,charged_price_ct
2025-01-01 00:00:00,0.216,0.35000000000000003,59.0
2025-01-01 01:00:00,0.16,0.35000000000000003,59.0
2025-01-01 02:00:00,0.0,0.35000000000000003,59.0
2025-01-01 03:00:00,-0.001,0.4,59.0
2025-01-01 04:00:00,-0.001,0.35000000000000003,59.0
2025-01-01 05:00:00,-0.006,0.35000000000000003,59.0
2025-01-01 06:00:00,-0.009,0.35000000000000003,59.0
2025-01-01 07:00:00,-0.001,0.35000000000000003,59.0
2025-01-01 08:00:00,-0.001,0.30000000000000004,59.0
2025-01-01 09:00:00,-0.004,0.25,59.0
2025-01-01 10:00:00,-0.003,4.0,59.0
2025-01-01 11:00:00,-0.01,22.05,59.0
2025-01-01 12:00:00,-0.005,10.65,59.0
2025-01-01 13:00:00,-0.01,132.20000000000002,59.0
2025-01-01 14:00:00,-0.101,22.549999999999997,59.0
2025-01-01 15:00:00,-0.001,76.8,59.0
2025-01-01 16:00:00,-0.001,77.45,59.0
2025-01-01 17:00:00,0.007,0.55,59.0
2025-01-01 18:00:00,0.101,4.3,59.0
2025-01-01 19:00:00,0.148,0.30000000000000004,59.0
2025-01-01 20:00:00,0.1,0.30000000000000004,59.0
2025-01-01 21:00:00,0.007,0.30000000000000004,59.0
2025-01-01 22:00:00,1.005,0.30000000000000004,59.0
2025-01-01 23:00:00,0.701,0.30000000000000004,59.0
2025-01-02 00:00:00,0.255,0.30000000000000004,59.0
2025-01-02 01:00:00,0.156,0.30000000000000004,59.0
2025-01-02 02:00:00,0.345,0.30000000000000004,59.0
2025-01-02 03:00:00,0.702,0.35000000000000003,59.0
2025-01-02 04:00:00,1.275,0.30000000000000004,59.0
2025-01-02 05:00:00,3.007,0.35000000000000003,59.0
2025-01-02 06:00:00,6.713,0.35000000000000003,59.0
2025-01-02 07:00:00,9.883,0.35000000000000003,59.0
2025-01-02 08:00:00,12.153,4.8,59.0
2025-01-02 09:00:00,12.723,53.949999999999996,59.0
2025-01-02 10:00:00,12.635,69.85,59.0
2025-01-02 11:00:00,11.997,89.65,59.0
2025-01-02 12:00:00,11.595,95.7,59.0
2025-01-02 13:00:00,11.39,123.44999999999999,59.0
2025-01-02 14:00:00,12.221,88.45,59.0
2025-01-02 15:00:00,13.011,50.4,59.0
