hourstamp,actual_kwh,charged_price_ct,spot_ct
2026-08-17 00:00:00,4.118,45.94,9.396
2026-08-17 00:15:00,4.036,42.61,9.189
2026-08-17 00:30:00,1.891,38.35,9.061
2026-08-17 00:45:00,0.516,38.35,8.941
2026-08-17 01:00:00,0.359,38.35,8.811
2026-08-17 01:15:00,0.395,38.35,8.693
2026-08-17 01:30:00,0.389,38.35,8.646
2026-08-17 01:45:00,0.317,38.35,8.578
2026-08-17 02:00:00,0.408,38.35,8.532
2026-08-17 02:15:00,0.445,38.35,8.466
2026-08-17 02:30:00,0.413,38.35,8.456
2026-08-17 02:45:00,0.496,38.35,8.441
2026-08-17 03:00:00,0.336,38.35,8.353
2026-08-17 03:15:00,0.367,38.35,8.362
2026-08-17 03:30:00,0.315,38.35,8.417
2026-08-17 03:45:00,0.436,38.35,8.468
2026-08-17 04:00:00,0.374,38.35,8.461
2026-08-17 04:15:00,0.404,38.35,8.543
2026-08-17 04:30:00,0.509,38.35,8.719
2026-08-17 04:45:00,1.444,38.35,8.932
2026-08-17 05:00:00,0.278,38.35,8.963
2026-08-17 05:15:00,0.606,38.35,9.305
2026-08-17 05:30:00,0.325,38.35,9.594
2026-08-17 05:45:00,1.09,38.35,9.962
2026-08-17 06:00:00,2.859,38.35,10.59
2026-08-17 06:15:00,3.082,38.35,10.924
2026-08-17 06:30:00,3.854,44.2,11.065
2026-08-17 06:45:00,3.712,50.43,11.074
2026-08-17 07:00:00,3.672,51.18,12.011
2026-08-17 07:15:00,3.019,54.15,11.861
2026-08-17 07:30:00,6.514,57.1,11.668
2026-08-17 07:45:00,8.852,63.0,11.243
2026-08-17 08:00:00,11.964,63.3,11.68
2026-08-17 08:15:00,11.32,62.91,11.12
2026-08-17 08:30:00,10.117,62.57,10.64
2026-08-17 08:45:00,9.57,62.16,10.046
2026-08-17 09:00:00,9.638,61.86,9.615
2026-08-17 09:15:00,11.551,64.58,8.993
2026-08-17 09:30:00,10.342,64.29,8.56
2026-08-17 09:45:00,8.318,60.82,8.134
2026-08-17 10:00:00,8.0,63.55,7.465
2026-08-17 10:15:00,8.084,63.3,7.086
2026-08-17 10:30:00,7.44,63.13,6.845
2026-08-17 10:45:00,6.647,59.74,6.591
2026-08-17 11:00:00,6.22,62.58,6.024
2026-08-17 11:15:00,8.69,62.44,5.817
2026-08-17 11:30:00,8.185,62.37,5.712
2026-08-17 11:45:00,7.833,62.29,5.597
2026-08-17 12:00:00,8.892,65.22,5.1
2026-08-17 12:15:00,7.669,65.14,4.975
2026-08-17 12:30:00,6.999,65.12,4.953
2026-08-17 12:45:00,7.346,61.83,4.905
2026-08-17 13:00:00,8.55,58.24,4.449
2026-08-17 13:15:00,8.926,61.62,4.597
2026-08-17 13:30:00,5.848,64.97,4.726
2026-08-17 13:45:00,7.021,65.1,4.917
2026-08-17 14:00:00,7.437,64.98,4.731
2026-08-17 14:15:00,7.629,61.95,5.091
2026-08-17 14:30:00,7.683,65.45,5.465
2026-08-17 14:45:00,7.632,62.5,5.906
2026-08-17 15:00:00,10.872,62.58,6.02
2026-08-17 15:15:00,7.913,66.17,6.557
2026-08-17 15:30:00,11.502,63.24,7.002
2026-08-17 15:45:00,7.617,63.62,7.561
2026-08-17 16:00:00,10.314,63.79,7.822
2026-08-17 16:15:00,13.805,67.32,8.333
2026-08-17 16:30:00,9.609,64.42,8.755
2026-08-17 16:45:00,14.577,64.75,9.233
2026-08-17 17:00:00,17.058,68.53,10.193
2026-08-17 17:15:00,17.832,68.71,10.475
2026-08-17 17:30:00,18.247,68.93,10.81
2026-08-17 17:45:00,17.92,69.16,11.169
2026-08-17 18:00:00,21.564,69.9,12.304
2026-08-17 18:15:00,14.709,69.92,12.339
2026-08-17 18:30:00,13.15,66.96,12.511
2026-08-17 18:45:00,13.702,67.03,12.61
2026-08-17 19:00:00,11.301,64.6,13.539
2026-08-17 19:15:00,14.213,67.54,13.364
2026-08-17 19:30:00,17.03,67.46,13.254
2026-08-17 19:45:00,15.515,64.42,13.275
2026-08-17 20:00:00,11.349,64.52,13.423
2026-08-17 20:15:00,9.573,64.33,13.142
2026-08-17 20:30:00,7.101,61.1,12.914
2026-08-17 20:45:00,6.996,57.77,12.56
2026-08-17 21:00:00,6.895,57.57,12.291
2026-08-17 21:15:00,5.528,57.24,11.849
2026-08-17 21:30:00,5.988,53.93,11.572
2026-08-17 21:45:00,4.152,53.64,11.198
2026-08-17 22:00:00,3.401,50.38,11.015
2026-08-17 22:15:00,2.988,46.93,10.599
2026-08-17 22:30:00,3.579,49.88,10.386
2026-08-17 22:45:00,2.625,46.47,10.045
2026-08-17 23:00:00,3.196,46.35,9.894
2026-08-17 23:15:00,2.842,46.13,9.637
2026-08-17 23:30:00,2.474,49.14,9.456
2026-08-17 23:45:00,2.607,45.82,9.258
