date,mae_kwh,pct_error,actual_total_kwh,shape_kind,varied_days
2026-06-01,3.44,48.6,678.5,profile,0
2026-06-02,1.2,20.4,562.8,profile,1
2026-06-03,0.67,9.3,686.6,profile,2
2026-06-04,0.89,12.2,702.3,profile,3
2026-06-05,1.53,17.5,839.9,profile,4
2026-06-06,2.14,22.6,909.2,profile,5
2026-06-07,1.21,12.8,912.6,profile,6
2026-06-08,1.36,17.5,744.5,profile,7
2026-06-09,0.73,11.0,638.8,profile,8
2026-06-10,1.3,15.2,820.7,profile,9
2026-06-11,0.86,10.8,769.1,profile,10
2026-06-12,0.75,9.8,731.5,profile,11
2026-06-13,1.27,14.5,842.1,profile,12
2026-06-14,1.55,14.8,1006.3,profile,13
