hourstamp,slot,hour,price_ct,floor_ct,spot_ct,forecast_kwh,forecast_lower,forecast_upper,margin_eur
2026-07-21 00:00:00,0,0,30.17,23.86,9.396,10.87,10.47,11.28,0.69
2026-07-21 00:15:00,1,0,23.65,23.65,9.189,8.79,8.39,9.2,0.0
2026-07-21 00:30:00,2,0,23.53,23.53,9.061,2.62,2.51,2.75,0.0
2026-07-21 00:45:00,3,0,23.41,23.41,8.941,6.3,6.02,6.6,0.0
2026-07-21 01:00:00,4,1,23.28,23.28,8.811,1.07,1.03,1.13,0.0
2026-07-21 01:15:00,5,1,23.16,23.16,8.693,0.97,0.93,1.02,0.0
2026-07-21 01:30:00,6,1,23.11,23.11,8.646,1.0,0.95,1.05,0.0
2026-07-21 01:45:00,7,1,23.04,23.04,8.578,0.95,0.91,1.0,0.0
2026-07-21 02:00:00,8,2,23.0,23.0,8.532,1.03,0.99,1.08,0.0
2026-07-21 02:15:00,9,2,22.93,22.93,8.466,2.35,2.24,2.46,0.0
2026-07-21 02:30:00,10,2,22.92,22.92,8.456,5.7,5.44,5.97,0.0
2026-07-21 02:45:00,11,2,22.91,22.91,8.441,3.64,3.47,3.81,0.0
2026-07-21 03:00:00,12,3,22.82,22.82,8.353,1.61,1.54,1.69,0.0
2026-07-21 03:15:00,13,3,22.83,22.83,8.362,1.07,1.02,1.12,0.0
2026-07-21 03:30:00,14,3,22.88,22.88,8.417,1.03,0.98,1.08,0.0
2026-07-21 03:45:00,15,3,22.93,22.93,8.468,0.99,0.95,1.04,0.0
2026-07-21 04:00:00,16,4,22.93,22.93,8.461,1.04,0.99,1.09,0.0
2026-07-21 04:15:00,17,4,23.01,23.01,8.543,0.98,0.93,1.02,0.0
2026-07-21 04:30:00,18,4,23.18,23.18,8.719,1.01,0.97,1.06,0.0
2026-07-21 04:45:00,19,4,23.4,23.4,8.932,3.54,3.38,3.71,0.0
2026-07-21 05:00:00,20,5,23.43,23.43,8.963,2.85,2.72,2.98,0.0
2026-07-21 05:15:00,21,5,23.77,23.77,9.305,0.91,0.87,0.95,0.0
2026-07-21 05:30:00,22,5,24.06,24.06,9.594,0.86,0.82,0.9,0.0
2026-07-21 05:45:00,23,5,24.43,24.43,9.962,5.18,4.96,5.42,0.0
2026-07-21 06:00:00,24,6,31.3,25.06,10.59,11.44,11.03,11.86,0.71
2026-07-21 06:15:00,25,6,31.62,25.39,10.924,10.87,10.49,11.26,0.68
2026-07-21 06:30:00,26,6,25.53,25.53,11.065,12.36,11.83,12.91,0.0
2026-07-21 06:45:00,27,6,28.65,25.54,11.074,12.19,11.72,12.68,0.38
2026-07-21 07:00:00,28,7,26.48,26.48,12.011,3.29,2.99,3.61,0.0
2026-07-21 07:15:00,29,7,26.33,26.33,11.861,3.64,3.31,4.0,0.0
2026-07-21 07:30:00,30,7,26.13,26.13,11.668,11.39,10.35,12.52,0.0
2026-07-21 07:45:00,31,7,97.18,25.71,11.243,11.47,10.27,12.82,8.2
2026-07-21 08:00:00,32,8,54.01,26.15,11.68,12.09,11.92,12.27,3.37
2026-07-21 08:15:00,33,8,25.59,25.59,11.12,9.98,9.05,10.99,0.0
2026-07-21 08:30:00,34,8,25.11,25.11,10.64,8.28,7.5,9.13,0.0
2026-07-21 08:45:00,35,8,24.51,24.51,10.046,9.9,8.96,10.94,0.0
2026-07-21 09:00:00,36,9,24.08,24.08,9.615,11.1,10.03,12.28,0.0
2026-07-21 09:15:00,37,9,23.46,23.46,8.993,10.36,9.34,11.48,0.0
2026-07-21 09:30:00,38,9,23.03,23.03,8.56,9.98,8.99,11.08,0.0
2026-07-21 09:45:00,39,9,22.6,22.6,8.134,10.08,9.07,11.2,0.0
2026-07-21 10:00:00,40,10,47.54,21.93,7.465,11.53,11.23,11.83,2.95
2026-07-21 10:15:00,41,10,47.24,21.55,7.086,11.89,11.58,12.21,3.05
2026-07-21 10:30:00,42,10,43.83,21.31,6.845,11.35,10.97,11.75,2.56
2026-07-21 10:45:00,43,10,50.07,21.06,6.591,11.12,10.9,11.35,3.23
2026-07-21 11:00:00,44,11,52.87,20.49,6.024,12.69,12.52,12.87,4.11
2026-07-21 11:15:00,45,11,52.71,20.28,5.817,12.22,12.04,12.39,3.96
2026-07-21 11:30:00,46,11,55.88,20.18,5.712,11.48,11.4,11.56,4.1
2026-07-21 11:45:00,47,11,59.0,20.06,5.597,11.73,11.73,11.73,4.57
2026-07-21 12:00:00,48,12,61.96,19.57,5.1,11.68,11.6,11.76,4.95
2026-07-21 12:15:00,49,12,59.0,19.44,4.975,12.4,12.4,12.4,4.91
2026-07-21 12:30:00,50,12,55.33,19.42,4.953,12.32,12.22,12.42,4.42
2026-07-21 12:45:00,51,12,55.29,19.37,4.905,12.16,12.06,12.26,4.37
2026-07-21 13:00:00,52,13,51.69,18.92,4.449,11.79,11.6,11.99,3.87
2026-07-21 13:15:00,53,13,55.07,19.06,4.597,11.09,10.99,11.19,3.99
2026-07-21 13:30:00,54,13,55.16,19.19,4.726,12.43,12.32,12.53,4.47
2026-07-21 13:45:00,55,13,58.57,19.38,4.917,12.16,12.15,12.17,4.76
2026-07-21 14:00:00,56,14,58.44,19.2,4.731,11.14,11.13,11.15,4.37
2026-07-21 14:15:00,57,14,52.17,19.56,5.091,12.29,12.11,12.48,4.01
2026-07-21 14:30:00,58,14,49.2,19.93,5.465,11.0,10.76,11.25,3.22
2026-07-21 14:45:00,59,14,52.78,20.37,5.906,11.62,11.46,11.78,3.77
2026-07-21 15:00:00,60,15,43.15,20.49,6.02,12.35,11.82,12.91,2.8
2026-07-21 15:15:00,61,15,50.04,21.02,6.557,12.23,11.93,12.54,3.55
2026-07-21 15:30:00,62,15,47.17,21.47,7.002,11.83,11.44,12.22,3.04
2026-07-21 15:45:00,63,15,47.62,22.03,7.561,12.32,11.93,12.71,3.15
2026-07-21 16:00:00,64,16,57.41,22.29,7.822,12.04,11.99,12.09,4.23
2026-07-21 16:15:00,65,16,73.68,22.8,8.333,11.7,11.23,12.19,5.95
2026-07-21 16:30:00,66,16,77.1,23.22,8.755,12.09,11.5,12.72,6.51
2026-07-21 16:45:00,67,16,90.01,23.7,9.233,12.07,11.07,13.16,8.0
2026-07-21 17:00:00,68,17,150.0,24.66,10.193,25.14,20.33,31.08,31.51
2026-07-21 17:15:00,69,17,150.0,24.94,10.475,23.11,18.69,28.57,28.9
2026-07-21 17:30:00,70,17,150.0,25.28,10.81,20.14,16.29,24.9,25.12
2026-07-21 17:45:00,71,17,150.0,25.64,11.169,20.05,16.22,24.79,24.93
2026-07-21 18:00:00,72,18,150.0,26.77,12.304,22.43,18.14,27.73,27.64
2026-07-21 18:15:00,73,18,150.0,26.81,12.339,22.47,18.17,27.78,27.68
2026-07-21 18:30:00,74,18,150.0,26.98,12.511,19.48,15.76,24.09,23.97
2026-07-21 18:45:00,75,18,150.0,27.08,12.61,17.05,13.79,21.08,20.96
2026-07-21 19:00:00,76,19,150.0,28.01,13.539,15.97,12.92,19.74,19.48
2026-07-21 19:15:00,77,19,27.83,27.83,13.364,10.75,10.0,11.57,0.0
2026-07-21 19:30:00,78,19,27.72,27.72,13.254,9.07,8.43,9.75,0.0
2026-07-21 19:45:00,79,19,27.74,27.74,13.275,8.68,8.07,9.34,0.0
2026-07-21 20:00:00,80,20,52.31,27.89,13.423,12.39,12.27,12.52,3.03
2026-07-21 20:15:00,81,20,45.97,27.61,13.142,11.66,11.43,11.89,2.14
2026-07-21 20:30:00,82,20,42.71,27.38,12.914,11.64,11.36,11.92,1.78
2026-07-21 20:45:00,83,20,42.4,27.03,12.56,13.2,12.87,13.53,2.03
2026-07-21 21:00:00,84,21,48.32,26.76,12.291,11.33,11.15,11.51,2.44
2026-07-21 21:15:00,85,21,47.96,26.32,11.849,12.04,11.84,12.23,2.61
2026-07-21 21:30:00,86,21,44.63,26.04,11.572,12.61,12.34,12.88,2.34
2026-07-21 21:45:00,87,21,41.21,25.66,11.198,12.96,12.62,13.31,2.01
2026-07-21 22:00:00,88,22,41.05,25.48,11.015,13.01,12.67,13.36,2.03
2026-07-21 22:15:00,89,22,31.31,25.06,10.599,12.11,11.63,12.62,0.76
2026-07-21 22:30:00,90,22,24.85,24.85,10.386,13.53,12.86,14.23,0.0
2026-07-21 22:45:00,91,22,24.51,24.51,10.045,10.77,10.23,11.34,0.0
2026-07-21 23:00:00,92,23,24.36,24.36,9.894,12.74,12.1,13.42,0.0
