Datum;Uhrzeit;"ProfilwertkWh";"ProfilwertkW";Spotmarktpreis in ct/kWh;Endkundenpreis in ct/kwh;Arbeitspreis Umspannung ct/kwh;Steuern&Abgaben in ct/kwh;Gewinn
1.1.2025;00:00:00;0,1;0,4;0,216;59;7,48;6,691;4,4613
1.1.2025;00:15:00;0,05;0,2;0,216;59;7,48;6,691;2,23065
1.1.2025;00:30:00;0,1;0,4;0,216;59;7,48;6,691;4,4613
1.1.2025;00:45:00;0,1;0,4;0,216;59;7,48;6,691;4,4613
1.1.2025;01:00:00;0,1;0,4;0,16;59;7,48;6,691;4,4669
1.1.2025;01:15:00;0,1;0,4;0,16;59;7,48;6,691;4,4669
1.1.2025;01:30:00;0,05;0,2;0,16;59;7,48;6,691;2,23345
1.1.2025;01:45:00;0,1;0,4;0,16;59;7,48;6,691;4,4669
1.1.2025;02:00:00;0,1;0,4;0;59;7,48;6,691;4,4829
1.1.2025;02:15:00;0,1;0,4;0;59;7,48;6,691;4,4829
1.1.2025;02:30:00;0,1;0,4;0;59;7,48;6,691;4,4829
1.1.2025;02:45:00;0,05;0,2;0;59;7,48;6,691;2,24145
1.1.2025;03:00:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;03:15:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;03:30:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;03:45:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;04:00:00;0,05;0,2;-0,001;59;7,48;6,691;2,2415
1.1.2025;04:15:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;04:30:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;04:45:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;05:00:00;0,1;0,4;-0,006;59;7,48;6,691;4,4835
1.1.2025;05:15:00;0,05;0,2;-0,006;59;7,48;6,691;2,24175
1.1.2025;05:30:00;0,1;0,4;-0,006;59;7,48;6,691;4,4835
1.1.2025;05:45:00;0,1;0,4;-0,006;59;7,48;6,691;4,4835
1.1.2025;06:00:00;0,1;0,4;-0,009;59;7,48;6,691;4,4838
1.1.2025;06:15:00;0,1;0,4;-0,009;59;7,48;6,691;4,4838
1.1.2025;06:30:00;0,05;0,2;-0,009;59;7,48;6,691;2,2419
1.1.2025;06:45:00;0,1;0,4;-0,009;59;7,48;6,691;4,4838
1.1.2025;07:00:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;07:15:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;07:30:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;07:45:00;0,05;0,2;-0,001;59;7,48;6,691;2,2415
1.1.2025;08:00:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;08:15:00;0,05;0,2;-0,001;59;7,48;6,691;2,2415
1.1.2025;08:30:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;08:45:00;0,05;0,2;-0,001;59;7,48;6,691;2,2415
1.1.2025;09:00:00;0,05;0,2;-0,004;59;7,48;6,691;2,24165
1.1.2025;09:15:00;0,1;0,4;-0,004;59;7,48;6,691;4,4833
1.1.2025;09:30:00;0,05;0,2;-0,004;59;7,48;6,691;2,24165
1.1.2025;09:45:00;0,05;0,2;-0,004;59;7,48;6,691;2,24165
1.1.2025;10:00:00;0,1;0,4;-0,003;59;7,48;6,691;4,4832
1.1.2025;10:15:00;0,05;0,2;-0,003;59;7,48;6,691;2,2416
1.1.2025;10:30:00;0,05;0,2;-0,003;59;7,48;6,691;2,2416
1.1.2025;10:45:00;3,8;15,2;-0,003;59;7,48;6,691;170,3616
1.1.2025;11:00:00;5,55;22,2;-0,01;59;7,48;6,691;248,85645
1.1.2025;11:15:00;5,5;22;-0,01;59;7,48;6,691;246,6145
1.1.2025;11:30:00;5,5;22;-0,01;59;7,48;6,691;246,6145
1.1.2025;11:45:00;5,5;22;-0,01;59;7,48;6,691;246,6145
1.1.2025;12:00:00;2,65;10,6;-0,005;59;7,48;6,691;118,8101
1.1.2025;12:15:00;0,05;0,2;-0,005;59;7,48;6,691;2,2417
1.1.2025;12:30:00;0;0;-0,005;59;7,48;6,691;0
1.1.2025;12:45:00;7,95;31,8;-0,005;59;7,48;6,691;356,4303
1.1.2025;13:00:00;21,85;87,4;-0,01;59;7,48;6,691;979,73215
1.1.2025;13:15:00;40,85;163,4;-0,01;59;7,48;6,691;1831,67315
1.1.2025;13:30:00;43,7;174,8;-0,01;59;7,48;6,691;1959,4643
1.1.2025;13:45:00;25,8;103,2;-0,01;59;7,48;6,691;1156,8462
1.1.2025;14:00:00;13,7;54,8;-0,101;59;7,48;6,691;615,541
1.1.2025;14:15:00;8,1;32,4;-0,101;59;7,48;6,691;363,933
1.1.2025;14:30:00;0,7;2,8;-0,101;59;7,48;6,691;31,451
1.1.2025;14:45:00;0,05;0,2;-0,101;59;7,48;6,691;2,2465
1.1.2025;15:00:00;20,45;81,8;-0,001;59;7,48;6,691;916,7735
1.1.2025;15:15:00;22,3;89,2;-0,001;59;7,48;6,691;999,709
1.1.2025;15:30:00;16,9;67,6;-0,001;59;7,48;6,691;757,627
1.1.2025;15:45:00;17,15;68,6;-0,001;59;7,48;6,691;768,8345
1.1.2025;16:00:00;36,65;146,6;-0,001;59;7,48;6,691;1643,0195
1.1.2025;16:15:00;30,15;120,6;-0,001;59;7,48;6,691;1351,6245
1.1.2025;16:30:00;10,55;42,2;-0,001;59;7,48;6,691;472,9565
1.1.2025;16:45:00;0,1;0,4;-0,001;59;7,48;6,691;4,483
1.1.2025;17:00:00;0,05;0,2;0,007;59;7,48;6,691;2,2411
1.1.2025;17:15:00;0,05;0,2;0,007;59;7,48;6,691;2,2411
1.1.2025;17:30:00;0,05;0,2;0,007;59;7,48;6,691;2,2411
1.1.2025;17:45:00;0,4;1,6;0,007;59;7,48;6,691;17,9288
1.1.2025;18:00:00;4,1;16,4;0,101;59;7,48;6,691;183,3848
1.1.2025;18:15:00;0,05;0,2;0,101;59;7,48;6,691;2,2364
1.1.2025;18:30:00;0,1;0,4;0,101;59;7,48;6,691;4,4728
1.1.2025;18:45:00;0,05;0,2;0,101;59;7,48;6,691;2,2364
1.1.2025;19:00:00;0,1;0,4;0,148;59;7,48;6,691;4,4681
1.1.2025;19:15:00;0,05;0,2;0,148;59;7,48;6,691;2,23405
1.1.2025;19:30:00;0,1;0,4;0,148;59;7,48;6,691;4,4681
1.1.2025;19:45:00;0,05;0,2;0,148;59;7,48;6,691;2,23405
1.1.2025;20:00:00;0,1;0,4;0,1;59;7,48;6,691;4,4729
1.1.2025;20:15:00;0,05;0,2;0,1;59;7,48;6,691;2,23645
1.1.2025;20:30:00;0,1;0,4;0,1;59;7,48;6,691;4,4729
1.1.2025;20:45:00;0,05;0,2;0,1;59;7,48;6,691;2,23645
1.1.2025;21:00:00;0,1;0,4;0,007;59;7,48;6,691;4,4822
1.1.2025;21:15:00;0,05;0,2;0,007;59;7,48;6,691;2,2411
1.1.2025;21:30:00;0,1;0,4;0,007;59;7,48;6,691;4,4822
1.1.2025;21:45:00;0,05;0,2;0,007;59;7,48;6,691;2,2411
1.1.2025;22:00:00;0,1;0,4;1,005;59;7,48;6,691;4,3824
1.1.2025;22:15:00;0,05;0,2;1,005;59;7,48;6,691;2,1912
1.1.2025;22:30:00;0,1;0,4;1,005;59;7,48;6,691;4,3824
1.1.2025;22:45:00;0,05;0,2;1,005;59;7,48;6,691;2,1912
1.1.2025;23:00:00;0,1;0,4;0,701;59;7,48;6,691;4,4128
1.1.2025;23:15:00;0,05;0,2;0,701;59;7,48;6,691;2,2064
1.1.2025;23:30:00;0,1;0,4;0,701;59;7,48;6,691;4,4128
1.1.2025;23:45:00;0,05;0,2;0,701;59;7,48;6,691;2,2064
2.1.2025;00:00:00;0,1;0,4;0,255;59;7,48;6,691;4,4574
2.1.2025;00:15:00;0,05;0,2;0,255;59;7,48;6,691;2,2287
2.1.2025;00:30:00;0,1;0,4;0,255;59;7,48;6,691;4,4574
2.1.2025;00:45:00;0,05;0,2;0,255;59;7,48;6,691;2,2287
2.1.2025;01:00:00;0,1;0,4;0,156;59;7,48;6,691;4,4673
2.1.2025;01:15:00;0,05;0,2;0,156;59;7,48;6,691;2,23365
2.1.2025;01:30:00;0,1;0,4;0,156;59;7,48;6,691;4,4673
2.1.2025;01:45:00;0,05;0,2;0,156;59;7,48;6,691;2,23365
2.1.2025;02:00:00;0,1;0,4;0,345;59;7,48;6,691;4,4484
2.1.2025;02:15:00;0,05;0,2;0,345;59;7,48;6,691;2,2242
2.1.2025;02:30:00;0,1;0,4;0,345;59;7,48;6,691;4,4484
2.1.2025;02:45:00;0,05;0,2;0,345;59;7,48;6,691;2,2242
2.1.2025;03:00:00;0,1;0,4;0,702;59;7,48;6,691;4,4127
2.1.2025;03:15:00;0,05;0,2;0,702;59;7,48;6,691;2,20635
2.1.2025;03:30:00;0,1;0,4;0,702;59;7,48;6,691;4,4127
2.1.2025;03:45:00;0,1;0,4;0,702;59;7,48;6,691;4,4127
2.1.2025;04:00:00;0,05;0,2;1,275;59;7,48;6,691;2,1777
2.1.2025;04:15:00;0,1;0,4;1,275;59;7,48;6,691;4,3554
2.1.2025;04:30:00;0,1;0,4;1,275;59;7,48;6,691;4,3554
2.1.2025;04:45:00;0,05;0,2;1,275;59;7,48;6,691;2,1777
2.1.2025;05:00:00;0,1;0,4;3,007;59;7,48;6,691;4,1822
2.1.2025;05:15:00;0,05;0,2;3,007;59;7,48;6,691;2,0911
2.1.2025;05:30:00;0,1;0,4;3,007;59;7,48;6,691;4,1822
2.1.2025;05:45:00;0,1;0,4;3,007;59;7,48;6,691;4,1822
2.1.2025;06:00:00;0,05;0,2;6,713;59;7,48;6,691;1,9058
2.1.2025;06:15:00;0,1;0,4;6,713;59;7,48;6,691;3,8116
2.1.2025;06:30:00;0,1;0,4;6,713;59;7,48;6,691;3,8116
2.1.2025;06:45:00;0,1;0,4;6,713;59;7,48;6,691;3,8116
2.1.2025;07:00:00;0,05;0,2;9,883;59;7,48;6,691;1,7473
2.1.2025;07:15:00;0,1;0,4;9,883;59;7,48;6,691;3,4946
2.1.2025;07:30:00;0,1;0,4;9,883;59;7,48;6,691;3,4946
2.1.2025;07:45:00;0,1;0,4;9,883;59;7,48;6,691;3,4946
2.1.2025;08:00:00;0,05;0,2;12,153;59;7,48;6,691;1,6338
2.1.2025;08:15:00;0,1;0,4;12,153;59;7,48;6,691;3,2676
2.1.2025;08:30:00;0,05;0,2;12,153;59;7,48;6,691;1,6338
2.1.2025;08:45:00;4,6;18,4;12,153;59;7,48;6,691;150,3096
2.1.2025;09:00:00;24,5;98;12,723;59;7,48;6,691;786,597
2.1.2025;09:15:00;17,95;71,8;12,723;59;7,48;6,691;576,3027
2.1.2025;09:30:00;8,2;32,8;12,723;59;7,48;6,691;263,2692
2.1.2025;09:45:00;3,3;13,2;12,723;59;7,48;6,691;105,9498
2.1.2025;10:00:00;2,35;9,4;12,635;59;7,48;6,691;75,6559
2.1.2025;10:15:00;26,2;104,8;12,635;59;7,48;6,691;843,4828
2.1.2025;10:30:00;24,4;97,6;12,635;59;7,48;6,691;785,5336
2.1.2025;10:45:00;16,9;67,6;12,635;59;7,48;6,691;544,0786
2.1.2025;11:00:00;23,9;95,6;11,997;59;7,48;6,691;784,6848
2.1.2025;11:15:00;32,2;128,8;11,997;59;7,48;6,691;1057,1904
2.1.2025;11:30:00;21,05;84,2;11,997;59;7,48;6,691;691,1136
2.1.2025;11:45:00;12,5;50;11,997;59;7,48;6,691;410,4
2.1.2025;12:00:00;1,65;6,6;11,595;59;7,48;6,691;54,8361
2.1.2025;12:15:00;25,25;101;11,595;59;7,48;6,691;839,1585
2.1.2025;12:30:00;40,5;162;11,595;59;7,48;6,691;1345,977
2.1.2025;12:45:00;28,3;113,2;11,595;59;7,48;6,691;940,5222
2.1.2025;13:00:00;21,25;85;11,39;59;7,48;6,691;710,57875
2.1.2025;13:15:00;27,65;110,6;11,39;59;7,48;6,691;924,58835
2.1.2025;13:30:00;26,4;105,6;11,39;59;7,48;6,691;882,7896
2.1.2025;13:45:00;48,15;192,6;11,39;59;7,48;6,691;1610,08785
2.1.2025;14:00:00;49,95;199,8;12,221;59;7,48;6,691;1628,7696
2.1.2025;14:15:00;24,45;97,8;12,221;59;7,48;6,691;797,2656
2.1.2025;14:30:00;6;24;12,221;59;7,48;6,691;195,648
2.1.2025;14:45:00;8,05;32,2;12,221;59;7,48;6,691;262,4944
2.1.2025;15:00:00;22,65;90,6;13,011;59;7,48;6,691;720,6777
2.1.2025;15:15:00;16,5;66;13,011;59;7,48;6,691;524,997
2.1.2025;15:30:00;8,15;32,6;13,011;59;7,48;6,691;259,3167
2.1.2025;15:45:00;3,1;12,4;13,011;59;7,48;6,691;98,6358
2.1.2025;16:00:00;1,75;7;13,859;59;7,48;6,691;54,1975
2.1.2025;16:15:00;1,35;5,4;13,859;59;7,48;6,691;41,8095
2.1.2025;16:30:00;0,05;0,2;13,859;59;7,48;6,691;1,5485
2.1.2025;16:45:00;0,1;0,4;13,859;59;7,48;6,691;3,097
2.1.2025;17:00:00;0,1;0,4;15,287;59;7,48;6,691;2,9542
2.1.2025;17:15:00;3,8;15,2;15,287;59;7,48;6,691;112,2596
2.1.2025;17:30:00;6,5;26;15,287;59;7,48;6,691;192,023
2.1.2025;17:45:00;5,65;22,6;15,287;59;7,48;6,691;166,9123
2.1.2025;18:00:00;4,2;16,8;15,294;59;7,48;6,691;124,047
2.1.2025;18:15:00;2,55;10,2;15,294;59;7,48;6,691;75,31425
2.1.2025;18:30:00;1,8;7,2;15,294;59;7,48;6,691;53,163
2.1.2025;18:45:00;1,3;5,2;15,294;59;7,48;6,691;38,3955
2.1.2025;19:00:00;27,9;111,6;13,915;59;7,48;6,691;862,5006
2.1.2025;19:15:00;53,3;213,2;13,915;59;7,48;6,691;1647,7162
2.1.2025;19:30:00;38,85;155,4;13,915;59;7,48;6,691;1201,0089
2.1.2025;19:45:00;19,55;78,2;13,915;59;7,48;6,691;604,3687
2.1.2025;20:00:00;0,1;0,4;13;59;7,48;6,691;3,1829
2.1.2025;20:15:00;0,1;0,4;13;59;7,48;6,691;3,1829
2.1.2025;20:30:00;0,05;0,2;13;59;7,48;6,691;1,59145
2.1.2025;20:45:00;0,1;0,4;13;59;7,48;6,691;3,1829
2.1.2025;21:00:00;0,1;0,4;11,978;59;7,48;6,691;3,2851
2.1.2025;21:15:00;0,1;0,4;11,978;59;7,48;6,691;3,2851
2.1.2025;21:30:00;0,1;0,4;11,978;59;7,48;6,691;3,2851
2.1.2025;21:45:00;0,05;0,2;11,978;59;7,48;6,691;1,64255
2.1.2025;22:00:00;0,1;0,4;11,342;59;7,48;6,691;3,3487
2.1.2025;22:15:00;0,1;0,4;11,342;59;7,48;6,691;3,3487
2.1.2025;22:30:00;0,1;0,4;11,342;59;7,48;6,691;3,3487
2.1.2025;22:45:00;0,1;0,4;11,342;59;7,48;6,691;3,3487
2.1.2025;23:00:00;0,05;0,2;8,247;59;7,48;6,691;1,8291
2.1.2025;23:15:00;0,1;0,4;8,247;59;7,48;6,691;3,6582
2.1.2025;23:30:00;0,1;0,4;8,247;59;7,48;6,691;3,6582
2.1.2025;23:45:00;0,1;0,4;8,247;59;7,48;6,691;3,6582
3.1.2025;00:00:00;0,1;0,4;9,956;59;7,48;6,691;3,4873
3.1.2025;00:15:00;0,05;0,2;9,956;59;7,48;6,691;1,74365
3.1.2025;00:30:00;0,1;0,4;9,956;59;7,48;6,691;3,4873
3.1.2025;00:45:00;0,1;0,4;9,956;59;7,48;6,691;3,4873
3.1.2025;01:00:00;0,1;0,4;8,753;59;7,48;6,691;3,6076
3.1.2025;01:15:00;0,1;0,4;8,753;59;7,48;6,691;3,6076
3.1.2025;01:30:00;0,05;0,2;8,753;59;7,48;6,691;1,8038
3.1.2025;01:45:00;0,1;0,4;8,753;59;7,48;6,691;3,6076
3.1.2025;02:00:00;0,1;0,4;8,501;59;7,48;6,691;3,6328
3.1.2025;02:15:00;0,1;0,4;8,501;59;7,48;6,691;3,6328
3.1.2025;02:30:00;0,1;0,4;8,501;59;7,48;6,691;3,6328
3.1.2025;02:45:00;0,05;0,2;8,501;59;7,48;6,691;1,8164
3.1.2025;03:00:00;0,1;0,4;8,379;59;7,48;6,691;3,645
3.1.2025;03:15:00;0,1;0,4;8,379;59;7,48;6,691;3,645
3.1.2025;03:30:00;0,1;0,4;8,379;59;7,48;6,691;3,645
3.1.2025;03:45:00;0,05;0,2;8,379;59;7,48;6,691;1,8225
3.1.2025;04:00:00;0,1;0,4;7,75;59;7,48;6,691;3,7079
3.1.2025;04:15:00;0,1;0,4;7,75;59;7,48;6,691;3,7079
3.1.2025;04:30:00;0,1;0,4;7,75;59;7,48;6,691;3,7079
3.1.2025;04:45:00;0,1;0,4;7,75;59;7,48;6,691;3,7079
3.1.2025;05:00:00;0,05;0,2;7,988;59;7,48;6,691;1,84205
3.1.2025;05:15:00;0,1;0,4;7,988;59;7,48;6,691;3,6841
3.1.2025;05:30:00;0,1;0,4;7,988;59;7,48;6,691;3,6841
3.1.2025;05:45:00;0,1;0,4;7,988;59;7,48;6,691;3,6841
3.1.2025;06:00:00;0,1;0,4;8,356;59;7,48;6,691;3,6473
3.1.2025;06:15:00;2,75;11;8,356;59;7,48;6,691;100,30075
3.1.2025;06:30:00;22,6;90,4;8,356;59;7,48;6,691;824,2898
3.1.2025;06:45:00;23,35;93,4;8,356;59;7,48;6,691;851,64455
3.1.2025;07:00:00;14,25;57;7,843;59;7,48;6,691;527,0505
3.1.2025;07:15:00;0,7;2,8;7,843;59;7,48;6,691;25,8902
3.1.2025;07:30:00;0,05;0,2;7,843;59;7,48;6,691;1,8493
3.1.2025;07:45:00;0,1;0,4;7,843;59;7,48;6,691;3,6986
