hourstamp,actual_kwh,charged_price_ct,spot_ct
2026-06-29 00:00:00,3.167,45.94,9.396
2026-06-29 00:15:00,3.041,42.61,9.189
2026-06-29 00:30:00,1.773,38.35,9.061
2026-06-29 00:45:00,0.383,38.35,8.941
2026-06-29 01:00:00,0.324,38.35,8.811
2026-06-29 01:15:00,0.389,38.35,8.693
2026-06-29 01:30:00,0.305,38.35,8.646
2026-06-29 01:45:00,0.366,38.35,8.578
2026-06-29 02:00:00,0.265,38.35,8.532
2026-06-29 02:15:00,0.356,38.35,8.466
2026-06-29 02:30:00,0.317,38.35,8.456
2026-06-29 02:45:00,0.341,38.35,8.441
2026-06-29 03:00:00,0.279,38.35,8.353
2026-06-29 03:15:00,0.317,38.35,8.362
2026-06-29 03:30:00,0.297,38.35,8.417
2026-06-29 03:45:00,0.344,38.35,8.468
2026-06-29 04:00:00,0.31,38.35,8.461
2026-06-29 04:15:00,0.324,38.35,8.543
2026-06-29 04:30:00,0.508,38.35,8.719
2026-06-29 04:45:00,1.298,38.35,8.932
2026-06-29 05:00:00,0.242,38.35,8.963
2026-06-29 05:15:00,0.538,38.35,9.305
2026-06-29 05:30:00,0.249,38.35,9.594
2026-06-29 05:45:00,0.963,38.35,9.962
2026-06-29 06:00:00,2.866,38.35,10.59
2026-06-29 06:15:00,2.627,38.35,10.924
2026-06-29 06:30:00,4.02,44.2,11.065
2026-06-29 06:45:00,3.304,50.43,11.074
2026-06-29 07:00:00,3.365,51.18,12.011
2026-06-29 07:15:00,3.678,54.15,11.861
2026-06-29 07:30:00,5.872,57.1,11.668
2026-06-29 07:45:00,9.435,63.0,11.243
2026-06-29 08:00:00,10.605,63.3,11.68
2026-06-29 08:15:00,8.586,62.91,11.12
2026-06-29 08:30:00,8.629,62.57,10.64
2026-06-29 08:45:00,8.266,62.16,10.046
2026-06-29 09:00:00,9.13,61.86,9.615
2026-06-29 09:15:00,7.813,64.58,8.993
2026-06-29 09:30:00,9.494,64.29,8.56
2026-06-29 09:45:00,10.031,60.82,8.134
2026-06-29 10:00:00,6.936,63.55,7.465
2026-06-29 10:15:00,5.508,63.3,7.086
2026-06-29 10:30:00,5.152,63.13,6.845
2026-06-29 10:45:00,7.829,59.74,6.591
2026-06-29 11:00:00,5.978,62.58,6.024
2026-06-29 11:15:00,8.306,62.44,5.817
2026-06-29 11:30:00,7.382,62.37,5.712
2026-06-29 11:45:00,8.377,62.29,5.597
2026-06-29 12:00:00,5.544,65.22,5.1
2026-06-29 12:15:00,5.481,65.14,4.975
2026-06-29 12:30:00,5.944,65.12,4.953
2026-06-29 12:45:00,6.205,61.83,4.905
2026-06-29 13:00:00,7.817,58.24,4.449
2026-06-29 13:15:00,7.325,61.62,4.597
2026-06-29 13:30:00,7.339,64.97,4.726
2026-06-29 13:45:00,6.889,65.1,4.917
2026-06-29 14:00:00,6.167,64.98,4.731
2026-06-29 14:15:00,8.389,61.95,5.091
2026-06-29 14:30:00,7.144,65.45,5.465
2026-06-29 14:45:00,7.409,62.5,5.906
2026-06-29 15:00:00,7.728,62.58,6.02
2026-06-29 15:15:00,9.425,66.17,6.557
2026-06-29 15:30:00,8.051,63.24,7.002
2026-06-29 15:45:00,10.025,63.62,7.561
2026-06-29 16:00:00,10.534,63.79,7.822
2026-06-29 16:15:00,8.678,67.32,8.333
2026-06-29 16:30:00,10.131,64.42,8.755
2026-06-29 16:45:00,11.164,64.75,9.233
2026-06-29 17:00:00,12.09,68.53,10.193
2026-06-29 17:15:00,18.725,68.71,10.475
2026-06-29 17:30:00,15.618,68.93,10.81
2026-06-29 17:45:00,16.154,69.16,11.169
2026-06-29 18:00:00,18.724,69.9,12.304
2026-06-29 18:15:00,14.628,69.92,12.339
2026-06-29 18:30:00,19.691,66.96,12.511
2026-06-29 18:45:00,10.502,67.03,12.61
2026-06-29 19:00:00,9.959,64.6,13.539
2026-06-29 19:15:00,13.873,67.54,13.364
2026-06-29 19:30:00,13.886,67.46,13.254
2026-06-29 19:45:00,13.513,64.42,13.275
2026-06-29 20:00:00,9.151,64.52,13.423
2026-06-29 20:15:00,8.32,64.33,13.142
2026-06-29 20:30:00,5.169,61.1,12.914
2026-06-29 20:45:00,6.523,57.77,12.56
2026-06-29 21:00:00,5.661,57.57,12.291
2026-06-29 21:15:00,5.907,57.24,11.849
2026-06-29 21:30:00,4.757,53.93,11.572
2026-06-29 21:45:00,3.917,53.64,11.198
2026-06-29 22:00:00,3.379,50.38,11.015
2026-06-29 22:15:00,3.215,46.93,10.599
2026-06-29 22:30:00,2.72,49.88,10.386
2026-06-29 22:45:00,2.738,46.47,10.045
2026-06-29 23:00:00,2.87,46.35,9.894
2026-06-29 23:15:00,3.125,46.13,9.637
2026-06-29 23:30:00,2.38,49.14,9.456
2026-06-29 23:45:00,2.613,45.82,9.258
